Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Mean AUC ROC,Val Macro F1,Val AUC Atelectasis,Val AUC Cardiomegaly,Val AUC Effusion,Val AUC Infiltration,Val AUC Mass,Val AUC Nodule,Val AUC Pneumonia,Val AUC Pneumothorax,Val AUC Consolidation,Val AUC Edema,Val AUC Emphysema,Val AUC Fibrosis,Val AUC Pleural_Thickening,Val AUC Hernia,Val Sensitivity Atelectasis,Val Sensitivity Cardiomegaly,Val Sensitivity Effusion,Val Sensitivity Infiltration,Val Sensitivity Mass,Val Sensitivity Nodule,Val Sensitivity Pneumonia,Val Sensitivity Pneumothorax,Val Sensitivity Consolidation,Val Sensitivity Edema,Val Sensitivity Emphysema,Val Sensitivity Fibrosis,Val Sensitivity Pleural_Thickening,Val Sensitivity Hernia,Peak RAM (MB),Peak VRAM (MB),Peak GPU Util (%)
41,0.0385,2449,5.2018,0.7522,0.2097,0.7391,0.8719,0.8490,0.6429,0.7684,0.6783,0.6662,0.7411,0.6856,0.8123,0.8093,0.6891,0.6801,0.8970,0.2732,0.2197,0.5029,0.2781,0.2432,0.1345,0.0241,0.1167,0.0677,0.1724,0.1727,0.0791,0.0707,0.4000,1059.8,5266.0,100.0
42,0.0357,2449,5.2424,0.7530,0.2135,0.7429,0.8680,0.8496,0.6405,0.7658,0.6834,0.6606,0.7433,0.6975,0.8052,0.8136,0.6880,0.6848,0.8986,0.2855,0.2254,0.4889,0.2358,0.2252,0.1388,0.0241,0.1167,0.0827,0.1724,0.2230,0.0719,0.1061,0.4000,1059.8,5266.0,100.0
43,0.0337,2449,5.2932,0.7505,0.2117,0.7368,0.8689,0.8484,0.6414,0.7640,0.6751,0.6616,0.7384,0.6879,0.8157,0.8084,0.6892,0.6778,0.8937,0.2744,0.2312,0.4796,0.2774,0.2132,0.1367,0.0241,0.1333,0.0714,0.1724,0.1655,0.0863,0.0657,0.4000,1059.8,5266.0,100.0
44,0.0319,2449,5.3497,0.7500,0.2160,0.7383,0.8672,0.8485,0.6399,0.7666,0.6750,0.6578,0.7407,0.6957,0.8084,0.8099,0.6850,0.6755,0.8910,0.2522,0.2197,0.4761,0.2774,0.2162,0.1367,0.0241,0.1292,0.0789,0.1638,0.1799,0.0863,0.0808,0.4000,1059.8,5266.0,100.0
45,0.0298,2449,5.3807,0.7499,0.2082,0.7369,0.8671,0.8472,0.6404,0.7655,0.6778,0.6638,0.7415,0.6911,0.8070,0.8085,0.6869,0.6788,0.8859,0.2509,0.2139,0.4749,0.2745,0.1982,0.1323,0.0241,0.1167,0.0902,0.1552,0.1655,0.0647,0.0606,0.4000,1059.8,5266.0,100.0
46,0.0287,2449,5.4181,0.7495,0.2074,0.7366,0.8666,0.8493,0.6422,0.7639,0.6749,0.6614,0.7418,0.6893,0.8040,0.8091,0.6865,0.6726,0.8951,0.2583,0.2023,0.4901,0.2584,0.2102,0.1302,0.0241,0.1292,0.0714,0.1552,0.1511,0.0719,0.0606,0.4000,1059.8,5266.0,100.0
47,0.0277,2449,5.4551,0.7499,0.2106,0.7380,0.8665,0.8482,0.6405,0.7657,0.6752,0.6626,0.7430,0.6892,0.8093,0.8081,0.6856,0.6741,0.8929,0.2583,0.2081,0.4854,0.2438,0.2072,0.1258,0.0241,0.1250,0.0789,0.1724,0.1583,0.0791,0.0657,0.4000,1059.8,5266.0,100.0
48,0.0267,2449,5.4616,0.7500,0.2076,0.7364,0.8663,0.8489,0.6418,0.7657,0.6760,0.6615,0.7424,0.6879,0.8087,0.8095,0.6848,0.6767,0.8928,0.2534,0.2081,0.4866,0.2445,0.2072,0.1258,0.0241,0.1167,0.0714,0.1638,0.1655,0.0647,0.0657,0.4000,1059.8,5266.0,100.0
49,0.0264,2449,5.4778,0.7496,0.2073,0.7361,0.8664,0.8487,0.6420,0.7651,0.6754,0.6615,0.7409,0.6880,0.8072,0.8095,0.6846,0.6760,0.8932,0.2485,0.2139,0.4831,0.2467,0.2102,0.1280,0.0241,0.1208,0.0752,0.1552,0.1583,0.0647,0.0606,0.4000,1059.8,5266.0,100.0
50,0.0267,2449,5.4774,0.7496,0.2074,0.7362,0.8665,0.8487,0.6419,0.7650,0.6753,0.6616,0.7410,0.6880,0.8074,0.8093,0.6846,0.6756,0.8933,0.2509,0.2139,0.4807,0.2431,0.2102,0.1280,0.0241,0.1208,0.0752,0.1552,0.1583,0.0647,0.0606,0.4000,1040.4,5266.0,91.0
