             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          33344076    helios tsan_ann  sarker1  R 2-03:38:16      1 svc-3024-10-10
          33320159    helios     bash  sarker1  R 6-04:49:38      1 svc-3024-10-10
          33377766    helios pt_huful elittles  R    2:31:16      1 svc-3024-10-12
33322681_[33-34%1] margres_2 pla4D_re kayashta PD       0:00      1 (JobArrayTaskLimit)
          33377870 margres_2 psmc_boo   hirsts PD       0:00      1 (Resources)
          33377872 margres_2 psmc_boo   hirsts PD       0:00      1 (Priority)
       33322681_32 margres_2 pla4D_re kayashta  R      31:17      1 mdc-1057-4-5
          33377869 margres_2 psmc_boo   hirsts  R      33:36      1 mdc-1057-4-7
          33377868 margres_2 psmc_boo   hirsts  R      34:07      1 mdc-1057-4-6
33339958_[31-49%5] muma_2021 pla3mixB kayashta PD       0:00      1 (Priority)
          33369473 muma_2021     wrap  ismailj PD       0:00      1 (Resources)
          33377848 muma_2021 sarima_b kalani12 PD       0:00      1 (Priority)
          33357538 muma_2021 h2o_iv_v     gson  R 1-01:06:31      2 mdc-1057-13-[9-10]
          33344092 muma_2021 nvim_ses     gson  R 2-03:32:29      1 mdc-1057-13-13
33236877_[109-120]       rra bulkRNAs   bizhao PD       0:00     30 (Resources)
      33236877_108       rra bulkRNAs   bizhao  R    4:32:27     30 mdc-1057-21-[1,3-14],mdc-1057-22-[1-13],mdc-1057-23-[1-4]
          33377709       rra run_bwa. jgibbons  R    2:49:11      1 mdc-1057-3-1
          33377710       rra run_bwa. jgibbons  R    2:49:11      1 mdc-1057-3-1
          33377711       rra run_bwa. jgibbons  R    2:49:11      1 mdc-1057-3-1
          33377712       rra run_bwa. jgibbons  R    2:49:11      1 mdc-1057-3-2
          33377713       rra run_bwa. jgibbons  R    2:49:11      1 mdc-1057-3-2
          33377714       rra run_bwa. jgibbons  R    2:49:11      1 mdc-1057-3-2
          33377715       rra run_bwa. jgibbons  R    2:49:11      1 mdc-1057-3-3
          33377716       rra run_bwa. jgibbons  R    2:49:11      1 mdc-1057-3-3
          33377717       rra run_bwa. jgibbons  R    2:49:11      1 mdc-1057-3-3
          33377718       rra run_bwa. jgibbons  R    2:49:11      1 mdc-1057-3-4
33358622_[10-16,18 rra_con20 kneaddat   rmpace PD       0:00      1 (JobArrayTaskLimit)
        33358622_9 rra_con20 kneaddat   rmpace  R    2:05:13      1 mdc-1057-4-1
          33249478 simmons_i prd_10_6    baoma  R 11-21:09:29      1 mdc-1057-25-8
          33249479 simmons_i prd_10_6    baoma  R 11-21:09:29      1 mdc-1057-25-9
          33249473 simmons_i prd_10_6    baoma  R 11-21:09:30      1 mdc-1057-25-6
          33249474 simmons_i prd_10_6    baoma  R 11-21:09:30      1 mdc-1057-25-6
          33249475 simmons_i prd_10_6    baoma  R 11-21:09:30      1 mdc-1057-25-7
          33249476 simmons_i prd_10_6    baoma  R 11-21:09:30      1 mdc-1057-25-7
          33249477 simmons_i prd_10_6    baoma  R 11-21:09:30      1 mdc-1057-25-8
          33249472 simmons_i prd_10_6    baoma  R 11-21:09:33      1 mdc-1057-25-4
          33346004 simmons_i prd_10_5    baoma  R 2-00:03:27      1 mdc-1057-25-1
          33346003 simmons_i prd_10_5    baoma  R 2-00:03:31      1 mdc-1057-25-1
          33377705 snsm_itn1   copper kamaleld PD       0:00      4 (Resources)
          33377873 snsm_itn1     cubr amdobber PD       0:00      4 (Priority)
          33377890 snsm_itn1 prod-nob   negarh  R       3:13      1 mdc-1057-28-17
          33377825 snsm_itn1 prod-nob   negarh  R    1:13:32      1 mdc-1057-28-19
          33377824 snsm_itn1 prod-nob   negarh  R    1:14:44      1 mdc-1057-28-16
          33377823 snsm_itn1 prod-nob   negarh  R    1:15:22      1 mdc-1057-28-12
          33377797 snsm_itn1 prod-nob   negarh  R    1:28:54      1 mdc-1057-28-17
          33377781 snsm_itn1 aald-eab   negarh  R    2:12:16      1 mdc-1057-28-13
          33377777 snsm_itn1 aald-eab   negarh  R    2:16:19      1 mdc-1057-28-14
          33377774 snsm_itn1 aald-eab   negarh  R    2:21:54      1 mdc-1057-28-16
          33351093 snsm_itn1 aald-eab   negarh  R 1-10:56:47      1 mdc-1057-28-19
          33377624 snsm_itn1 ADP_res_ gschilla  R    4:20:52      1 mdc-1057-27-18
          33377625 snsm_itn1 ADP_res_ gschilla  R    4:20:52      1 mdc-1057-27-17
          33377626 snsm_itn1 ADP_res_ gschilla  R    4:20:52      1 mdc-1057-27-16
          33377627 snsm_itn1 ADP_res_ gschilla  R    4:20:52      1 mdc-1057-27-15
          33377628 snsm_itn1 ADP_res_ gschilla  R    4:20:52      1 mdc-1057-27-13
          33377629 snsm_itn1 ADP_res_ gschilla  R    4:20:52      1 mdc-1057-27-12
          33377630 snsm_itn1 ADP_res_ gschilla  R    4:20:52      1 mdc-1057-27-11
          33377631 snsm_itn1 ADP_res_ gschilla  R    4:20:52      1 mdc-1057-27-10
          33377610 snsm_itn1 ADP_res_ gschilla  R    4:20:55      1 mdc-1057-28-11
          33377611 snsm_itn1 ADP_res_ gschilla  R    4:20:55      1 mdc-1057-28-10
          33377612 snsm_itn1 ADP_res_ gschilla  R    4:20:55      1 mdc-1057-28-9
